"model","checkpoint","pipeline","dataset","protocol","shots","seed","accuracy","macro_f1"
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","6","71",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","7","73",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","8","69.8",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","9","76.3",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","10","71",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","11","72.8",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","12","73.7",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","13","71.8",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","14","70",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","15","66.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","16","66.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","17","66",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","18","70.3",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","10","19","69.3",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","20","0","79.1",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","20","1","77.1",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","20","2","80.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","20","3","79.9",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","20","4","78.6",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","20","5","76.6",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","20","6","80.8",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","20","7","78.4",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","20","8","80",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","20","9","79.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","20","10","78.8",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","New_FUSAR","finetune","20","11","79.3",""
